# GENERATED by .agents/generate.py - do not edit by hand.
#
# The LinkML authoring vocabulary: every metamodel slot you may write in a schema,
# 236 of them. Query it, do not read it. Columns are tab-separated, so anchor
# on the column - a bare `grep basic` also matches every description with that word.
#
#   grep -P '^inlined\t' 900-metaslots.tsv                              # one slot
#   awk -F'\t' '$5 ~ /min|basic/ {print $1}' 900-metaslots.tsv          # everyday slots
#   awk -F'\t' '$2 ~ /class_definition/ {print $1}' 900-metaslots.tsv  # what a class carries
#
# tier: min/basic = commonly used, spec = in the formal specification,
# oo/rel = object-oriented / relational profiles only.
#
# used_on lists only classes declaring a slot directly. Classes also inherit every
# slot of their is_a/mixins ancestors, so class_definition does accept name and
# description even though those are declared on element.
#
# Presence here means the *metamodel* defines it, NOT that linkml-scala implements
# it. Check 200-limitations.md before relying on anything unusual.
#
# slot	used_on	range	cardinality	tier	description
equals_number	type_expression,slot_expression	integer	single	-	the slot must have range of a number and the value of the slot must equal the specified v…
equals_number_in	-	integer	multi	spec	the slot must have range number and the value of the slot must equal one of the specified…
equals_string	type_expression,slot_expression	string	single	spec	the slot must have range string and the value of the slot must equal the specified value
equals_string_in	type_expression,slot_expression	string	multi	spec	the slot must have range string and the value of the slot must equal one of the specified…
exact mappings	common_metadata,UnitOfMeasure	uriorcurie	multi	-	A list of terms from different schemas or terminology systems that have identical meaning.
exact_cardinality	slot_expression,dimension_expression	integer	single	spec	the exact number of entries for a multivalued slot
exact_number_dimensions	array_expression	integer	single	-	exact number of dimensions in the array
exactly_one_of	type_expression,path_expression,slot_expression,+1	expression	single	spec	holds if only one of the expressions hold
examples	common_metadata	example	multi	basic	example usages of an element
extension_tag	extension	uriorcurie	single,required	-	a tag associated with an extension
extension_value	extension	AnyValue	single,required	-	the actual annotation
extensions	extension,extensible	extension	multi	-	a tag/text tuple attached to an arbitrary element
extra_slots	class_definition	extra_slots_expression	single	spec,basic	How a class instance handles extra data not specified in the class definition. Note that…
followed_by	path_expression	expression	single	-	in a sequential list, this indicates the next member
framework_key	type_mapping	string	single	-	The name of a format that can be used to serialize LinkML data. The string value should b…
from_schema	common_metadata	uri	single	spec	id of the schema that defined the element
generation_date	schema_definition	datetime	single	basic	date and time that the schema was loaded/generated
has_member	slot_expression	anonymous_slot_expression	single	spec	the value of the slot is multivalued with at least one member satisfying the condition
has_quantity_kind	UnitOfMeasure	uriorcurie	single	-	Concept in a vocabulary or ontology that denotes the kind of quantity being measured, e.g…
id	schema_definition	uri	single,required	spec,min,basic	The official schema URI
id_prefixes	element	ncname	multi	spec,basic	An allowed list of prefixes for which identifiers must conform. The identifier of this cl…
id_prefixes_are_closed	element	boolean	single	-	If true, then the id_prefixes slot is treated as being closed, and any use of an id that…
identifier	slot_definition	boolean	single	spec,min,basic,rel	True means that the slot is the identifier slot of its class. Such a slot uniquely identi…
identifier_pattern	match_query	string	single	spec	A regular expression that is used to obtain a set of identifiers from a source_ontology t…
iec61360code	UnitOfMeasure	string	single	-	
ifabsent	slot_definition	string	single	spec	function that provides a default value for the slot. * [Tt]rue -- boolean True * [Ff]alse…
implements	element,permissible_value	uriorcurie	multi	-	An element in another schema which this element conforms to. The referenced element is no…
implicit_prefix	type_expression,slot_expression	string	single	spec	Causes the slot value to be interpreted as a uriorcurie after prefixing with this string
import_as	import_expression	ncname	single	-	
import_from	import_expression	uriorcurie	single,required	-	
import_map	import_expression	setting	multi	-	
imported_from	common_metadata	string	single	-	the imports entry that this element was derived from. Empty means primary source
imports	schema_definition	uriorcurie	multi	spec,basic	A list of schemas that are to be included in this schema
in_language	common_metadata	string	single	-	the primary language used in the sources
in_subset	common_metadata	subset_definition	multi	basic	used to indicate membership of a term in a defined subset of terms used for a particular…
inapplicable	slot_definition	boolean	single	spec	true means that values for this slot must not be present
include	enum_expression	anonymous_enum_expression	multi	spec	An enum expression that yields a list of permissible values that are to be included, afte…
include_self	reachability_query	boolean	single	spec	True if the query is reflexive
inherited	slot_definition	boolean	single	spec	true means that the *value* of a slot is inherited by subclasses
inherits	enum_expression	enum_definition	multi	spec	An enum definition that is used as the basis to create a new enum
inlined	slot_expression	boolean	single	spec,basic	True means that keyed or identified slot appears in an outer structure by value. False me…
inlined_as_list	slot_expression	boolean	single	spec,basic	True means that an inlined slot is represented as a list of range instances. False means…
inlined_as_simple_dict	slot_definition	boolean	single	spec	True means that an inlined slot is represented as a simple dict whose values are all atoms
instantiates	element,permissible_value	uriorcurie	multi	-	An element in another schema which this element instantiates.
